Pioneer Name,Birth,Death,DeathPlace
"Franklin B Westphal",,,"Research Needed"
"Franklin W Belden",1858,1945,"Research Needed"
"Frederick Wheeler",1814,1900,"Research Needed"
"George A. Irwin",1843,1925,"Research Needed"
"George Albert King",1855,1925,"Research Needed"
"George Amadon",1832,1913,"South Lancaster, Massachusetts, USA"
"George Bourdeau",1835,1910,"Research Needed"
"George Butler",1834,1912,"Battle Creek, Michigan, USA"
"George Ide Butler",,,"Battle Creek, Michigan, USA"
"George Starr",1835,1911,"Research Needed"
"George Storrs",1796,1879,"Boston, Massachusetts, USA"
"George Tenney",1830,1910,"Research Needed"
"George W Holt",,,"Research Needed"
"Gilbert Cranmer",1820,1895,"Research Needed"
"Hannah Henly",1826,1906,"Research Needed"
"Hannah More",,,"Research Needed"
"Harriet Burdick",1839,1913,"Research Needed"
"Harriet Dickinson",1815,1895,"Research Needed"
"Harriet N. White",1835,1915,"Research Needed"
"Harriet Soles Kimball",1821,1901,"Research Needed"
"Harriet Stevens",1842,1917,"Research Needed"
"Harrison Grant",,,"Battle Creek, Michigan, USA"
"Harvey Edson Rogers",,,"Research Needed"
"Hazen Foss",,,"Research Needed"
"Heman Stetson Gurney",,,"Research Needed"
"Henry Dana Ward",1808,1884,"Research Needed"
"Henry Dresser",1820,1895,"Battle Creek, Michigan, USA"
"Henry Fenner",1838,1913,"Battle Creek, Michigan, USA"
"Henry F Phelps",,,"Research Needed"
"Henry Lyon",,,"Research Needed"
"Henry Mead",1830,1905,"Research Needed"
"Henry Nichols White",1862,1930,"Research Needed"
"H E Robinson",,,"Research Needed"
"Hetty Hurd Haskell",,,"Avondale, Australia"
"Hiram Edson",1806,1882,"Port Byron, New York, USA"
"Hiram Edson Jr",,,"Port Byron, New York, USA"
"Isaac Doren Van Horn",,,"Research Needed"
"Isaac D. Van Horn",1826,1899,"Research Needed"
"Isaac Jennings",1788,1874,"Mansfield, Ohio, USA"
"Isaac Morrison",1838,1910,"Research Needed"
"Israel Dammon",1815,1895,"Battle Creek, Michigan, USA"
"James Edson White",1849,1928,"Topeka, Kansas, USA"
"James Nevins Waggoner",1821,1889,"Battle Creek, Michigan, USA"
"James R. Scott",1820,1895,"Research Needed"
"James Springer White",1821,1881,"Battle Creek, Michigan, USA"
"James White",1821,1881,"Battle Creek, Michigan, USA"
"J B Cook",,,"Research Needed"
"J. B. Frisbie",1815,1895,"Battle Creek, Michigan, USA"
"J N Loughborough Jr",,,"Research Needed"
"John Andrews Family",,,"Research Needed"
"John Bourdeau",1814,1884,"Battle Creek, Michigan, USA"
"John Byington",1798,1887,"Research Needed"
"John Clark Md",1835,1905,"Research Needed"
"John Harvey Waggoner",1820,1889,"Research Needed"
"John Herbert Kellogg",1860,1943,"Research Needed"
"John Matteson",1820,1905,"Battle Creek, Michigan, USA"
"John Nevins Andrews",1829,1883,"Basel, Switzerland"
"John Nevins Waggoner",1837,1901,"Battle Creek, Michigan, USA"
"John Norton Loughborough",1832,1924,"Healdsburg, California, USA"
"John W Lewis",,,"Research Needed"
"Joseph Bates Jr",,,"Research Needed"
"Joseph Birchard Frisbie",,,"Battle Creek, Michigan, USA"
"Joseph Clarke",1832,1908,"Research Needed"
"Josephine Fay",1855,1927,"Research Needed"
"Joshua Vaughan Himes",1805,1895,"New York City, New York, USA"
"Josiah Litch",1809,1886,"Research Needed"
"Josiah Rice Hart",,,"Research Needed"
"J. P. Kellogg",1838,1917,"Research Needed"
"Judson Sylvanus Washburn",,,"Research Needed"
"Juliet Stramel",1835,1910,"Research Needed"
"Julius Eggert",1845,1918,"Research Needed"
"Lemuel G Stiles",,,"Research Needed"
"Levi S Stockbridge",,,"Research Needed"
"Lewis C. Gage",1824,1901,"Battle Creek, Michigan, USA"
"Lewis C Sheafe",1825,1901,"Research Needed"
"Lorenzo Cramer",1828,1905,"Research Needed"
"Lorenzo Dow",1828,1905,"Research Needed"
"Loughborough Frank",1813,1891,"Research Needed"
"Louisa Moore",1838,1912,"Research Needed"
"Lucinda Hall (Lucy)",1830,1909,"Research Needed"
"Lucy B White",,,"Research Needed"
"Luther Drake",1830,1908,"Research Needed"
"Luther Warren",,,"Research Needed"
"Margaret Olesen",1829,1906,"Research Needed"
"Margaret Rankin",1852,1928,"Research Needed"
"Maria Poor Cook",1824,1905,"Research Needed"
"Martha Amadon",1834,1937,"Research Needed"
"Martha McKeever",1835,1908,"Research Needed"
"Martin Bourdeau",1815,1889,"Research Needed"
"Mary Clough",,,"Research Needed"
"Mary D Polly Nichols",,,"Research Needed"
"Mary Haskell",,,"Avondale, Australia"
"Mary Louisa Smith",1806,1881,"Research Needed"
"Mary Thompson Himes",,,"Research Needed"
"May White",,,"Research Needed"
"Merritt E Cornell",,,"Research Needed"
"Merritt Kellogg",1843,1927,"Research Needed"
"Merritt Waggoner",1840,1918,"Research Needed"
"Michal C B Czechowski",,,"Research Needed"
"Mrs Albert Belden",,,"Research Needed"
"Mrs Elvira Hastings",,,"Research Needed"
"Mrs Stockbridge Howland",,,"Research Needed"
"Mrs William Miller",,,"Low Hampton, New York, USA"
"Nathan Whiting",,,"Research Needed"
"N.D. Foss",1835,1908,"Research Needed"
"Ole Olsen",1845,1915,"Battle Creek, Michigan, USA"
"Olive Maria Rice",,,"Research Needed"
"Otis Nichols",,,"Research Needed"
"Owen Russell Loomis Crosier",1820,1913,"Research Needed"
"Parker Bailey",1828,1908,"Research Needed"
"Percy Tilson Magan",,,"Los Angeles, California, USA"
"Priscilla Stowe",1846,1918,"Research Needed"
"Prudence Bates",,,"Research Needed"
"Rachel Oakes Preston",1809,1868,"Unknown"
"Ransom H Brock",,,"Research Needed"
"Rebecca Creel",1828,1905,"Research Needed"
"Rebekah Smith",,,"Battle Creek, Michigan, USA"
"Review And Herald Workers",,,"Research Needed"
"Riley Hooper",1833,1914,"Research Needed"
"Robert Hutchinson",,,"Research Needed"
"Robert Wieland",1825,1905,"Research Needed"
"Robert Winter",,,"Research Needed"
"Rosa Spaulding",1832,1907,"Research Needed"
"Roswell Fenner Cottrell",1814,1892,"Battle Creek, Michigan, USA"
"Roswell Harmon",1835,1912,"Battle Creek, Michigan, USA"
"Rufus M Kilgore",,,"Research Needed"
"Samuel Howland",,,"East Wareham, Massachusetts, USA"
"Samuel Sheffield Snow",,,"Research Needed"
"Samuel Smith",,,"Research Needed"
"Samuel W Rhodes",,,"Research Needed"
"Sarah A Lindsay",,,"Research Needed"
"Sarah Andrews",,,"Research Needed"
"Sarah Belden",,,"Research Needed"
"Sarepta Myrenda Ireland Henry",,,"Research Needed"
"Shirley Schirmacher",,,"Research Needed"
"Sidney Haskell",1845,1925,"Research Needed"
"Silas Hersum",1830,1905,"Research Needed"
"S N Curtiss",,,"Research Needed"
"Solomon Magan",1856,1932,"Los Angeles, California, USA"
"Sophronia White",,,"St. Helena, California, USA"
"Stephen Bourdeau",1842,1925,"Battle Creek, Michigan, USA"
"Stephen Nelson Haskell",1833,1922,"Avondale, Australia"
"Stephen Pierce",1806,1880,"Research Needed"
"Susan Richardson Howland",1823,1905,"Research Needed"
"Sylvester Bliss",1814,1863,"Research Needed"
"Thomas H Gibbs",,,"Research Needed"
"Thomas M Preble",,,"Research Needed"
"T.M. Steward",1844,1924,"Research Needed"
"Unnamed Colporteurs",,,"Research Needed"
"Uriah Smith",1832,1903,"Battle Creek, Michigan, USA"
"Uriah Strieter",1828,1906,"Research Needed"
"Washington Morse",1832,1906,"Research Needed"
"William A Spicer",,,"Research Needed"
"William Bracewell",1837,1912,"Research Needed"
"William Clarence White",,,"Washington, D.C., USA"
"William Ellis Foy",1810,1893,"Research Needed"
"William Farnsworth",1825,1905,"Research Needed"
"William Ings",1835,1912,"Research Needed"
"William Miller",1782,1849,"Low Hampton, New York, USA"
"William Morse",1822,1879,"Research Needed"
"William Ward Simpson",,,"Research Needed"
"William Warren Prescott",1855,1944,"Washington, D.C., USA"
